Type,Element,Meaning,Example Word,Example Meaning,Quiz Prompt,Rarity (1-10)
ROOT,loc (Latin),place,location,a particular place,"How does 'loc' connect 'relocate,' 'locomotive' (moving from place to place), and 'local'?",2
ROOT,log / logue (Greek),word / reason / study,logic,the science of reasoning,"How does 'log' connect 'dialogue' (words between two), 'monologue,' and 'epilogue'?",2
ROOT,luc / lum / lust (Latin),light,translucent,allowing light through,"How does 'luc' connect 'lucid,' 'illuminate,' and 'illustrate'?",4
ROOT,lumen (Latin),light / interior space,luminal,relating to the inner space of a tubular structure,How does 'lumen' connect the unit of light flux and the anatomical interior of a vessel?,5
ROOT,lysosome (Greek),dissolving body,lysosomal,relating to the lysosome (a cell organelle containing digestive enzymes),How does 'lyso-' (dissolving) + '-some' (body) describe the lysosome's function?,7
ROOT,macrophage (Greek),large eater,macrophage,a large immune cell that engulfs pathogens and debris,How does 'macro-' (large) + '-phage' (eater) describe the macrophage's function?,5
ROOT,macula (Latin),spot / stain,macular degeneration,deterioration of the central spot of the retina,How does 'macula' connect 'macula lutea' (yellow spot) and 'maculate' (spotted)?,7
ROOT,magn (Latin),great / large,magnificent,of great beauty or splendor,"How does 'magn' connect 'magnify,' 'magnitude,' and 'magnanimous'?",3
ROOT,malleus (Latin),hammer,malleus,the hammer-shaped bone in the middle ear,"How does 'malleus' connect 'mallet,' 'malleolus' (little hammer — the ankle knob), and 'malleability'?",8
ROOT,man / manu (Latin),hand,manuscript,something written by hand,"How does 'man' connect 'manual,' 'manage,' and 'manufacture'?",3
ROOT,mand / mend (Latin),to order / to entrust,command,to order authoritatively,How does 'mand' shape the meaning of 'mandate' and 'demand'?,4
ROOT,mandate (Latin),to order / to commit to one's hand,mandatory injunction,an injunction requiring a party to take positive action,How does a 'mandate' (court order) differ from a 'recommendation' in enforceability?,3
ROOT,mandate (Latin),to order / to entrust,mandate letter,a bank's formal commitment to provide financing on specified terms,What conditions precedent are typically found in a bank 'mandate letter'?,3
ROOT,mar (Latin),sea,marine,relating to the sea,"How does 'mar' connect 'maritime,' 'submarine,' and 'marina'?",2
ROOT,market (Latin/Germanic),a place of trade,market maker,a firm that quotes buy and sell prices for financial instruments to ensure liquidity,How does a 'market maker' differ from a broker in securities trading?,1
ROOT,mast (Greek),breast,mastectomy,the surgical removal of the breast,"How does 'mast' connect 'mastitis,' 'mastoid' (breast-shaped bone behind the ear), and 'gynecomastia'?",5
ROOT,mater / matr (Latin),mother,maternity,motherhood,How does 'mater' shape the meaning of 'maternal' and 'matriarch'?,3
ROOT,med (Latin),middle,medium,a middle state or means,How does 'med' connect 'mediate' (to go in the middle) and 'medieval'?,2
ROOT,medull (Latin),marrow / pith / inner part,medullary,relating to the inner part (medulla) of an organ,"How does 'medull' connect 'medulla oblongata,' 'renal medulla,' and 'adrenal medulla'?",6
ROOT,melanin (Greek),black / dark,melanocyte,a cell that produces the dark pigment melanin,"How does 'melan' connect 'melanism,' 'melanoma,' and 'melancholy' (black bile)?",5
ROOT,meninges (Greek),membrane,meningitis,inflammation of the meninges surrounding the brain,How does 'mening' connect 'meningioma' (a tumor of the meninges) and 'meningocele'?,6
ROOT,ment (Latin),mind,mental,relating to the mind,How does 'ment' shape the meaning of 'mentality' and 'mentor'?,3
ROOT,merger (Latin/Old French),to immerse / to combine,reverse merger,a transaction in which a private company acquires a public company to achieve a listing,What are the regulatory and disclosure advantages and risks of a 'reverse merger' listing?,3
ROOT,metabol (Greek),to change,metabolite,a substance produced or consumed in metabolism,"How does 'metabol' connect 'anabolism,' 'catabolism,' and 'basal metabolic rate'?",4
ROOT,metr / meter (Greek),measure,thermometer,a device that measures temperature,"How does 'metr' connect 'metric,' 'geometry' (earth-measuring), and 'symmetry'?",3
ROOT,mezzanine (Italian/Latin),the middle floor,mezzanine financing,debt or preferred equity that ranks between senior debt and common equity,How does 'mezzanine financing' provide flexibility in leveraged buyout capital structures?,7
ROOT,migr (Latin),to move / to wander,migrate,to move from one place to another,How does 'migr' shape the meaning of 'immigrate' vs. 'emigrate'?,4
ROOT,misrepresentation (Latin/Old French),a false representation,fraudulent misrepresentation,a false statement of fact made knowingly with intent to deceive,What are the elements of 'misrepresentation' as a cause of action in contract?,4
ROOT,mit / miss (Latin),to send,transmit,to send across,"How does 'mit' connect 'emit' (send out), 'admit,' and 'mission'?",3
ROOT,mitigation (Latin),to make milder,duty to mitigate,the obligation of the innocent party to take reasonable steps to reduce loss after breach,What happens to a damages award if the claimant fails to 'mitigate' their loss?,4
ROOT,mitochondria (Greek),thread granule,mitochondrion,the organelle that generates cellular energy (ATP),How does 'mitos' (thread) + 'chondros' (granule) describe the mitochondrion's original microscopic appearance?,5
ROOT,mitosis (Greek),thread / warp thread,mitosis,the process of cell division that produces identical daughter cells,How does 'mitos' (thread) describe what chromosomes look like during mitosis?,5
ROOT,mob / mot / mov (Latin),to move,mobile,able to move,"How does 'mot' connect 'motion,' 'promote,' and 'emotion' (moving feeling)?",2
ROOT,monopoly (Greek/Latin),single seller,natural monopoly,an industry where a single firm can supply the entire market at lower cost than multiple firms,How does regulation of a 'natural monopoly' differ from breaking it up using antitrust law?,3
ROOT,morph (Greek),form / shape,metamorphosis,a change of form,How does 'morph' shape the meaning of 'amorphous' (without shape)?,4
ROOT,mort (Latin),death,mortal,subject to death,"How does 'mort' connect 'mortality,' 'immortal,' and 'mortify'?",3
ROOT,mortgage (Old French),a dead pledge — the pledge ends on payment or default,mortgage,a security interest in real property securing repayment of a loan,Why is a mortgage described as a 'dead pledge' etymologically?,3
ROOT,mortgage (Old French),dead pledge,mortgage-backed security (MBS),a financial instrument backed by a pool of mortgage loans,How did the proliferation of 'mortgage-backed securities' amplify systemic risk in 2007–2008?,3
ROOT,morula (Latin),mulberry,morula,an early embryo of 16 cells resembling a mulberry,How does 'morula' connect to 'Morus' (the mulberry genus) and why the visual analogy?,9
ROOT,mut (Latin),change,mutate,to undergo change,How does 'mut' connect 'mutual' (changing toward each other) and 'immutable'?,4
ROOT,myelin (Greek),marrow,myelin sheath,the fatty insulating layer around nerve fibers,How does 'myelin' (marrow — the fatty substance) describe the sheath's composition?,6
ROOT,naris (Latin),nostril,nares,the nostrils (openings of the nasal cavity),"How does 'naris' connect 'nasal,' 'naris,' and 'choanae' (internal nares)?",8
ROOT,narr (Latin),to tell,narrate,to tell a story,How does 'narr' shape the meaning of 'narrative' and 'narrator'?,3
ROOT,nat (Latin),born / birth,native,born in a particular place,"How does 'nat' connect 'nature,' 'nation,' and 'prenatal'?",2
ROOT,nav (Latin),ship,navigate,to steer a ship (or direct a path),How does 'nav' shape the meaning of 'naval' and 'navy'?,3
ROOT,necrosis (Greek),death,necrotic,relating to the death of body tissue,"How does 'nekros' (dead body) connect 'necrosis,' 'necrophilia,' and 'necropolis'?",5
ROOT,neg (Latin),to deny / not,negate,to deny or make negative,"How does 'neg' connect 'negative,' 'negligent,' and 'renege'?",3
ROOT,negligence (Latin),careless / neglect,contributory negligence,the claimant's own carelessness that contributes to their loss,How does 'contributory negligence' differ from 'comparative negligence' as a defense?,3
ROOT,negotiate (Latin),not at leisure / to carry on business,negotiated deal,a transaction whose terms are agreed through discussion rather than standard terms,How does a 'negotiated' transaction differ from an auction process in M&A?,3
ROOT,nephron (Greek),kidney unit,nephrology,the medical study of the kidneys,How does 'nephron' (the functional unit of the kidney) connect 'glomerulonephritis' and 'nephrectomy'?,6
ROOT,net (Latin/Old French),clean / after deductions,net present value (NPV),the present value of future cash flows minus the initial investment,How does a positive 'NPV' indicate value creation for shareholders?,2
ROOT,neural (Greek),nerve,neurogenesis,the growth and development of nervous tissue,"How does 'neural' connect 'neural tube defect,' 'neural crest cells,' and 'neural plasticity'?",4
ROOT,noc / nox (Latin),harm / night,nocturnal,active during the night,How does 'noc' shape the meaning of 'innocent' (not harmful)?,5
ROOT,nom / nym (Greek/Latin),name / law,anonymous,without a name,"How does 'nom' connect 'nominate,' 'synonym,' and 'pseudonym'?",4
ROOT,norm (Latin),rule / pattern,normal,conforming to a standard rule,How does 'norm' connect 'enormous' (out of the normal rule) and 'normalize'?,2
ROOT,notochord (Greek),back string / cord,notochord,the primitive backbone in chordate embryos,How does 'noton' (back) + 'chorde' (string) describe the notochord's structure and position?,8
ROOT,nov (Latin),new,innovate,to introduce something new,"How does 'nov' connect 'novel,' 'novice,' and 'renovate'?",3
ROOT,novation (Latin),to make new,novation,"the substitution of a new contract or party for an old one, extinguishing the original obligation",How does 'novation' differ from 'assignment' of contractual rights?,6
ROOT,novation (Latin),to make new,debt novation,the replacement of an existing debt obligation with a new one involving a new party,How does 'novation' transfer credit exposure in derivatives markets?,6
ROOT,nuisance (Old French/Latin),to harm / to injure,public nuisance,an unreasonable interference with the rights of the general public,How does 'public nuisance' differ from 'private nuisance' in terms of who may sue?,3
ROOT,numer (Latin),number,enumerate,to count out one by one,How does 'numer' shape the meaning of 'innumerable' (too many to number)?,3
ROOT,nystagmus (Greek),to nod / drowsy,nystagmus,rapid involuntary movement of the eyes,How does 'nystagmos' (nodding with drowsiness) describe the visual appearance of nystagmus?,9
ROOT,oath (Old English),a solemn pledge,perjury,the criminal offense of making a false statement while under oath,What is the difference between 'perjury' and 'contempt of court' in procedural terms?,2
ROOT,obligation (Latin),to bind / to tie,obligor,the party under a duty to perform in a legal obligation,How does 'obligation' as a civil-law concept compare to 'consideration' in common-law contract?,3
ROOT,obturator (Latin),to close / stop up,obturator foramen,a large opening in the hip bone (partially closed by membrane),How does 'obturate' (to close) shape the meaning of 'obturator' both anatomically and in dentistry?,9
ROOT,occiput (Latin),back of the head,occipital,relating to the back of the skull,How does 'ob-' (against) + 'caput' (head) describe the occiput's position opposite the front of the head?,8
ROOT,oct (Latin/Greek),eight,octopus,a creature with eight arms,"If 'oct' means eight, what does 'octave' describe in music?",3
ROOT,offer (Latin/Old French),to present,counter-offer,a response to an offer that varies its terms and constitutes a rejection of the original offer,How does a 'counter-offer' destroy the original offer under mirror-image rule?,1
ROOT,oligopoly (Greek/Latin),few sellers,duopoly,a market dominated by exactly two sellers,How does an 'oligopoly' differ from a monopoly in terms of competitive dynamics and regulatory treatment?,6
ROOT,omentum (Latin),fatty membrane / entrails,omentum,an apron-like fold of peritoneum covering the intestines,"How does 'omentum' connect 'greater omentum,' 'lesser omentum,' and 'omental fat'?",9
ROOT,omni (Latin),all,omnipotent,having all power,How does 'omni' connect 'omniscient' (knowing all) and 'omnivore'?,2
ROOT,oper (Latin),to work,cooperate,to work together,How does 'oper' shape the meaning of 'operate' and 'opus'?,3
ROOT,operon (Latin),to work,operon,a cluster of genes under shared regulatory control,"How does 'oper' (to work) connect 'operon' to 'operator,' 'operand,' and genetic regulation?",9
ROOT,opt (Latin/Greek),best / eye / to choose,optimist,one who sees the best outcome,How does 'opt' connect 'optical' (relating to the eye) and 'adopt'?,3
ROOT,option (Latin),choice / wish,call option,the right but not the obligation to buy an asset at a specified price before a set date,How does a 'call option' differ from a 'put option' in hedging strategy?,3
ROOT,ord (Latin),order / row,order,an arrangement in sequence,"How does 'ord' connect 'ordinary,' 'coordinate,' and 'disorder'?",3
ROOT,organelle (Greek),little organ,organelle,a specialized structure within a cell performing a specific function,How does 'organelle' (little organ) parallel the relationship between organs in a body?,5
ROOT,ossicle (Latin),little bone,ossicular chain,the three tiny bones of the middle ear transmitting sound vibrations,"How does 'ossicle' connect 'incus,' 'malleus,' 'stapes,' and 'ossification'?",8
ROOT,oxytocin (Greek),quick birth,oxytocin,a hormone stimulating uterine contractions and bonding behavior,How does 'oxy-' (quick/sharp) + 'tokos' (birth) describe oxytocin's original known function?,6
ROOT,pac (Latin),peace,pacify,to make peaceful,How does 'pac' shape the meaning of 'pacific' and 'pacifist'?,3
ROOT,palate (Latin),roof of the mouth,palatine,relating to the palate or roof of the mouth,"How does 'palate' connect 'palatine bone,' 'cleft palate,' and 'palatoplasty'?",4
ROOT,pancreas (Greek),all flesh / entirely flesh,pancreas,a gland that produces digestive enzymes and insulin,How does 'pan-' (all) + 'kreas' (flesh) describe the pancreas's appearance as entirely fleshy?,4
ROOT,papilla (Latin),nipple / teat,papillary,covered with or relating to small nipple-like projections,"How does 'papilla' connect 'renal papilla,' 'taste papillae,' and 'papillary thyroid carcinoma'?",7
ROOT,par (Latin),equal,at par,issued or trading at face value (neither at a premium nor a discount),What does it mean when bonds trade 'below par' and how does this reflect credit risk?,4
ROOT,parenchyma (Greek),poured in beside,parenchyma,the functional tissue of an organ distinct from its connective framework,How does 'para-' (beside) + 'enchyma' (infusion/pouring) describe parenchymal tissue?,8
ROOT,parietal (Latin),of a wall,parietal,relating to the wall of a body cavity,"How does 'parietal' connect 'parietal lobe,' 'parietal pleura,' and 'parietal peritoneum'?",6
ROOT,partition (Latin),to divide,partition action,a court proceeding to divide jointly owned property among co-owners,When is 'partition in kind' preferred over a forced sale in co-ownership disputes?,4
ROOT,patella (Latin),small pan / small dish,patellar,relating to the kneecap,How does 'patella' (small shallow dish) describe the kneecap's shape?,5
ROOT,patent (Latin),open / lying open,patent pool,an agreement between multiple patent holders to license their patents collectively,How does a 'patent pool' reduce transaction costs while raising antitrust scrutiny?,5
ROOT,patent (Latin/Old French),open / lying open,patent infringement,"unauthorized making, using, or selling of a patented invention",What defenses are available to a party accused of 'patent infringement'?,3
ROOT,pater / patr (Latin),father,patriot,one who loves their fatherland,"How does 'patr' connect 'patron,' 'patriarchy,' and 'patronize'?",3
ROOT,path (Greek),feeling / disease / suffering,sympathy,feeling together with someone,"How does 'path' connect 'empathy,' 'pathology,' and 'psychopath'?",3
ROOT,ped / pod (Greek/Latin),foot / child,pedestrian,one who travels on foot,"How does 'ped' connect 'pedal,' 'expedition,' and 'pediatrician' (child doctor)?",3
ROOT,pel / puls (Latin),to drive / to push,compel,to drive together (force),"How does 'puls' connect 'pulse,' 'repulse,' and 'impulse'?",4
ROOT,pelvis (Latin),basin,pelvimetry,the measurement of the dimensions of the pelvis,How does 'pelvis' (basin) describe both the bony structure and the renal pelvis?,4
ROOT,pend / pens (Latin),to hang / to weigh / to pay,suspend,to hang from above,"How does 'pend' connect 'depend,' 'pending,' and 'appendix'?",4
ROOT,peptide (Greek),to digest,peptidase,an enzyme that cleaves peptide bonds,"How does 'peptide' (digested) connect 'polypeptide,' 'pepsin,' and 'peptic ulcer'?",5
ROOT,peristalsis (Greek),to clasp around,peristalsis,wavelike contractions of the gut wall moving contents forward,How does 'peri-' (around) + 'stellein' (to place/clasp) describe peristaltic movement?,7
ROOT,perjury (Latin),false swearing,perjury trap,a situation where a person is questioned under oath primarily to induce perjurious answers,What distinguishes an honest mistake under oath from 'perjury'?,4
ROOT,perpetuity (Latin),forever / without end,rule against perpetuities,the rule invalidating future interests that may vest too remotely,How does the 'rule against perpetuities' prevent property from being tied up indefinitely?,6
ROOT,phalanx (Greek),line of soldiers / finger bone,phalanx,a bone of the finger or toe,How does 'phalanx' connect the military formation and the arrangement of finger bones?,5
ROOT,pharynx (Greek),throat,pharyngitis,inflammation of the pharynx (throat),"How does 'pharynx' connect 'nasopharynx,' 'oropharynx,' and 'pharyngeal reflex'?",5
ROOT,pheromone (Greek),to carry / to transfer,pheromone,a chemical signal transferred between individuals of the same species,How does 'pherein' (to carry) + 'horman' (to urge) describe the pheromone's action?,5
ROOT,phil (Greek),love,philosophy,love of wisdom,"How does 'phil' connect 'philanthropist,' 'bibliophile,' and 'Philadelphia'?",3
ROOT,phon (Greek),sound / voice,telephone,a device for transmitting sound over distance,"How does 'phon' connect 'phonics,' 'microphone,' and 'symphony'?",2
ROOT,photo / phos (Greek),light,photograph,an image recorded by light,How does 'photo' connect 'photosynthesis' and 'photovoltaic'?,2
ROOT,photon (Greek),light particle,photoreceptor,a cell that responds to light stimuli,"How does 'photon' connect 'photosynthesis,' 'photolysis,' and 'photophobia'?",4
ROOT,physi (Greek),nature / body,physician,one who studies and heals the body,How does 'physi' shape the meaning of 'physique' and 'physical'?,3
ROOT,placenta (Latin),flat cake,placentation,the formation and structure of the placenta,How does 'placenta' (flat cake) describe the organ's appearance?,4
ROOT,plasma (Greek),something molded / formed,plasma membrane,the outer boundary of a cell (the formed membrane),"How does 'plasma' connect 'blood plasma,' 'protoplasm,' and 'plasmid' (a formed circular DNA)?",4
ROOT,plea (Old French/Latin),to plead / to agree,guilty plea,an admission by the defendant to the offense charged,What rights does a defendant waive when entering a 'guilty plea'?,3
ROOT,pledge (Old French/Germanic),a security,share pledge,the deposit of shares as security for a loan,How does enforcement of a 'share pledge' differ from enforcement of a real-property mortgage?,4
ROOT,pleura (Greek),rib / side,pleuritis / pleurisy,inflammation of the pleura surrounding the lungs,"How does 'pleura' connect 'pleural effusion,' 'pneumothorax,' and 'pleurodesis'?",6
ROOT,plex / plic (Latin),to fold / to interweave,complex,folded together (complicated),"How does 'plic' connect 'complicate,' 'implicate,' and 'duplicate'?",5
ROOT,plexus (Latin),braid / network,brachial plexus,a network of nerves supplying the arm,"How does 'plexus' (braid) connect 'solar plexus,' 'choroid plexus,' and 'plexiform'?",6
ROOT,podocyte (Greek),foot cell,podocyte,a cell with foot-like projections filtering blood in the kidney,How does 'podo-' (foot) + '-cyte' (cell) describe the podocyte's structure?,9
ROOT,poli (Greek),city,politics,affairs of the city / state,"How does 'poli' connect 'metropolis,' 'police,' and 'policy'?",3
ROOT,polymer (Greek),many parts,polymerization,the linking of many monomers into a chain,How does 'poly-' (many) + '-mer' (part) describe the structure of DNA as a polymer?,4
ROOT,pon / pos / pound (Latin),to put / to place,compose,to put together,"How does 'pos' connect 'deposit,' 'expose,' and 'impose'?",4
ROOT,pons (Latin),bridge,pontine,relating to the pons (the bridge-like part of the brainstem),How does 'pons' (bridge) describe the anatomical and functional role of this brainstem structure?,6
ROOT,popul (Latin),people,population,the total number of people in a place,"How does 'popul' connect 'popular,' 'populate,' and 'depopulate'?",2
ROOT,port (Latin),to carry,portable,able to be carried,"If 'port' means carry, what does 'export' literally mean? And 'import'?",2
ROOT,portfolio (Italian/Latin),to carry / a leaf,portfolio company,a company in which a private equity or venture capital fund has invested,How does 'portfolio diversification' reduce unsystematic risk in investment management?,3
ROOT,precedent (Latin),going before,binding precedent,a prior court decision that must be followed by lower courts in the same hierarchy,How does 'stare decisis' give 'binding precedent' its coercive force in common-law systems?,3
ROOT,premium (Latin),a prize / something taken first,risk premium,the additional return demanded by investors for bearing risk above the risk-free rate,How does the 'equity risk premium' influence corporate cost-of-capital calculations?,3
ROOT,principal (Latin),first / chief,principal-agent problem,a conflict of interest arising because an agent does not always act in the principal's best interest,What governance mechanisms mitigate the 'principal-agent problem' in public companies?,3
ROOT,prion (English/Greek),proteinaceous infectious particle,prionopathy,a disease caused by misfolded prion proteins,How does the portmanteau 'prion' (protein + infection) describe this unique infectious agent?,7
ROOT,privilege (Latin),private law / personal exemption,legal professional privilege,the right to refuse disclosure of confidential communications with one's lawyer,What is the rationale for protecting 'legal professional privilege' in adversarial proceedings?,3
ROOT,privity (Latin/Old French),private / secret,privity of contract,the relationship between the contracting parties that enables enforcement of the contract,How has 'privity of contract' been eroded by statutes allowing third-party enforcement?,7
ROOT,probate (Latin),to prove,probate court,a court with jurisdiction over wills and estates,What is the purpose of 'probate' and when can a will be 'probated'?,5
ROOT,profit (Latin),advance / benefit,profit warning,a public announcement that a company's earnings will fall below market expectations,What disclosure obligations trigger a listed company's duty to issue a 'profit warning'?,1
ROOT,prolactin (Latin),promoting milk,prolactinoma,a benign tumor of the pituitary secreting excess prolactin,How does 'pro-' (promoting) + 'lactin' (milk) describe prolactin's primary function?,8
ROOT,promissory (Latin),a promise,promissory note,a written unconditional promise to pay a specified sum to a named party,How does a 'promissory note' differ from a bill of exchange?,5
ROOT,proprioception (Latin),one's own perception,proprioceptor,a sensory receptor detecting body position and movement,How does 'proprius' (one's own) + 'capio' (to take/perceive) define proprioception?,7
ROOT,prosecute (Latin),to follow up / to pursue,prosecution,the institution and conduct of criminal proceedings by the state,What is the difference between a 'private prosecution' and a public 'prosecution'?,3
ROOT,prospectus (Latin),a view / an outlook,listing prospectus,a document describing a company's business and finances issued to potential investors in an IPO,What liability do directors and advisers face for a misleading 'prospectus'?,5
ROOT,prostaglandin (Greek/Latin),standing before the gland,prostaglandin,a lipid compound acting like a hormone at the site of synthesis,How does 'pros-' (before/near) + 'gland' explain why prostaglandins were first found near the prostate gland?,9
ROOT,proximate cause (Latin),nearest / closest,proximate cause,the legally operative cause most directly linked to the harm suffered,How does 'proximate cause' differ from 'but-for' (factual) causation in tort law?,5
ROOT,proxy (Latin),to procure / to act for another,proxy fight,a contest for shareholder votes by a dissident group seeking to change board composition,How does a 'proxy fight' compare to a hostile takeover as a means of effecting corporate change?,4
ROOT,psych (Greek),mind / soul,psychology,the study of the mind,"How does 'psych' connect 'psychiatry,' 'psychosis,' and 'psychedelic'?",2
ROOT,punct (Latin),point / dot,puncture,to make a point / hole in something,How does 'punct' shape the meaning of 'punctual' (being to the point in time)?,4
ROOT,punitive (Latin),punishing,punitive damages,damages awarded to punish a defendant for malicious or reckless conduct,What limitations do courts place on 'punitive damages' to avoid unconstitutional excess?,4
ROOT,pylorus (Greek),gatekeeper,pyloric stenosis,narrowing of the pylorus (gateway from stomach to duodenum),How does 'pylorus' (gate + guardian) describe the function of this muscular valve?,8
ROOT,quantum meruit (Latin),as much as is deserved,quantum meruit,a claim for reasonable payment where no price was agreed or a contract has failed,When does a party rely on 'quantum meruit' rather than a contractual price claim?,7
ROOT,quer / ques / quis (Latin),to ask / to seek,question,an act of asking,"How does 'quer' connect 'query,' 'inquest,' and 'inquisitive'?",4
ROOT,ratify (Latin),to confirm / to approve,ratification,the subsequent adoption of a contract or act made without authority,How does 'ratification' relate back to the date of the original unauthorized act in agency law?,4
ROOT,receivership (Latin/Old English),one who receives,administrative receivership,an insolvency process where a receiver manages a company's assets for a secured creditor,How does 'receivership' differ from 'administration' as an insolvency procedure?,6
ROOT,recission (Latin),to cut back,rescission,the unmaking of a contract so as to restore the parties to their pre-contractual positions,How does 'rescission' differ from 'termination' (ending a contract prospectively)?,5
ROOT,recourse (Latin),to run back,non-recourse debt,debt for which the lender's only remedy on default is against the collateral asset,How does 'non-recourse' financing change the risk allocation in a project finance structure?,5
ROOT,redeem (Latin),to buy back,redemption of shares,the repurchase of shares by the issuing company at a predetermined price,How does 'redemption' of preference shares affect a company's capital structure?,4
ROOT,reg / rect (Latin),to rule / to guide / straight,regulate,to guide by rules,"How does 'rect' connect 'correct' (guide rightly), 'direct,' and 'rectangle'?",3
ROOT,register (Latin),to record / to enroll,registered charge,a security interest over company property registered at the public registry,What is the effect of failure to 'register' a charge within the prescribed period?,3
ROOT,reorganization (Greek/Latin),to organize again,Chapter 11 reorganization,a U.S. bankruptcy procedure allowing a company to restructure its debts and continue operating,How does 'Chapter 11 reorganization' differ from 'Chapter 7 liquidation' for a distressed company?,4
ROOT,representation (Latin),to present again / to show,representations and warranties,contractual statements of fact and promises given in a transaction,How do 'representations and warranties' in an M&A agreement allocate risk between buyer and seller?,3
ROOT,reserve (Latin),to keep back,statutory reserve,a portion of profit that a company is legally required to set aside and not distribute,How do 'statutory reserves' protect creditors from depletion of a company's capital base?,3
ROOT,restitution (Latin),to restore,unjust enrichment,the principle that a defendant must restore a benefit unjustly received at the claimant's expense,How does 'restitution' (restoring gains) differ from 'compensation' (making good losses)?,4
ROOT,restructure (Latin),to build again,debt restructuring,the renegotiation of the terms of a debt to give a borrower breathing space,How does a 'debt restructuring' differ from refinancing and from formal insolvency?,4
ROOT,reticulocyte (Latin),little net + cell,reticulocyte,an immature red blood cell with a net-like internal structure,How does 'reticul-' (little net) describe the reticulocyte's internal appearance under the microscope?,9
ROOT,revenue (Latin/French),to come back / to return,revenue recognition,the accounting principle governing when and how income is recorded,How did the adoption of IFRS 15 change 'revenue recognition' for long-term contracts?,2
ROOT,reversion (Latin),to turn back,reverter clause,a clause causing property to revert to the original owner on a specified event,How does a 'reversion' differ from a 'remainder' in the law of future interests?,6
ROOT,ribose (Arabic/German),a type of sugar,ribonucleic acid (RNA),the nucleic acid using ribose sugar,How does 'ribose' shape the chemical identity of RNA vs. DNA (deoxyribose)?,8
ROOT,ribosome (German/Greek),RNA + body,ribosomal RNA,the RNA component of ribosomes that catalyzes protein synthesis,How does 'ribo-' (from RNA) + '-some' (body) describe the ribosome's composition?,6
ROOT,riparian (Latin),relating to a riverbank,riparian rights,the rights of a landowner whose property borders a watercourse,How do 'riparian rights' to use water differ from the 'prior appropriation' doctrine?,7
ROOT,risk (Italian/Latin),danger / reef,systemic risk,the risk that the failure of one institution triggers collapse across the financial system,How does 'systemic risk' justify macroprudential regulation beyond firm-level supervision?,2
ROOT,royalty (Old French/Latin),a royal right,royalty stream,the recurring payments a licensee makes to a licensor based on use of intellectual property,How does the valuation of a 'royalty stream' differ from a lump-sum license fee?,4
ROOT,rupt (Latin),to break / to burst,interrupt,to break into (and disturb),"How does 'rupt' connect 'erupt,' 'corrupt,' and 'bankrupt'?",3
ROOT,sacrum (Latin),sacred bone,sacroiliac,relating to the sacrum and ilium of the pelvis,How does 'sacrum' (sacred bone) connect to its ancient anatomical naming as the 'os sacrum'?,6
ROOT,sanction (Latin),to make holy / to confirm,sanctions (legal),official penalties or restrictions imposed for violations of law or conduct rules,How do 'economic sanctions' imposed by a state differ from court-ordered 'sanctions' for litigation misconduct?,3
ROOT,sarcolemma (Greek),flesh husk,sarcolemma,the cell membrane surrounding a muscle fiber,How does 'sarco-' (flesh) + 'lemma' (husk/sheath) describe the sarcolemma's structure?,9
ROOT,sarcomere (Greek),flesh part,sarcomere,the functional unit of a muscle fiber's contractile machinery,How does 'sarco-' (flesh) + '-mere' (part) describe the sarcomere as the repeating unit of a myofibril?,9
ROOT,sci (Latin),to know,conscience,inner knowing of right and wrong,"How does 'sci' connect 'science,' 'omniscient,' and 'conscious'?",3
ROOT,sclera (Greek),hard,scleral,relating to the sclera (the white of the eye),How does 'sclera' connect 'sclerosis' (hardening) and 'scleroderma' (hard skin)?,6
ROOT,scrib / script (Latin),to write,describe,to write about in detail,"How does 'script' connect 'manuscript,' 'prescription,' and 'inscription'?",2
ROOT,sebum (Latin),tallow / grease,sebaceous,relating to sebum-secreting glands of the skin,"How does 'sebum' connect 'sebaceous cyst,' 'seborrhea' (excessive grease flow), and 'sebocyte'?",7
ROOT,sect (Latin),to cut,dissect,to cut apart for examination,How does 'sect' connect 'bisect' (cut in two) and 'intersection'?,3
ROOT,security (Latin),freedom from care / a pledge,securities regulation,"the body of law governing the issuance and trading of stocks, bonds, and derivatives",How does 'securities regulation' balance investor protection with efficient capital formation?,2
ROOT,sens / sent (Latin),to feel,sensitive,able to feel deeply,"How does 'sent' connect 'sentimental,' 'consent,' and 'resent'?",3
ROOT,septum (Latin),partition / fence,septal defect,a hole in the wall (septum) between heart chambers,"How does 'septum' connect 'nasal septum,' 'ventricular septum,' and 'septicemia' (infection in the blood)?",5
ROOT,sequ / secut (Latin),to follow,sequence,the order in which things follow,How does 'sequ' connect 'consequence' (following together) and 'subsequent'?,4
ROOT,sequester (Latin),to separate / to set apart,sequestration,the seizure and holding of assets by a court during dispute or insolvency,How does 'sequestration' of assets differ from 'garnishment' as an enforcement mechanism?,6
ROOT,sesamoid (Greek),sesame-shaped,sesamoid bone,a small bone embedded within a tendon (like the patella),How does 'sesame' + '-oid' (resembling) describe the sesamoid bone's appearance?,8
ROOT,settlement (Old English/Latin),to make firm / to resolve,out-of-court settlement,a negotiated resolution of a dispute without a final court judgment,What are the advantages and disadvantages of an 'out-of-court settlement' over litigation?,3
ROOT,shareholder (Old English/Germanic),one who holds a share,shareholder activism,the use of equity ownership rights to influence corporate strategy or governance,How does 'shareholder activism' differ between hedge fund activists and institutional investors?,2
